FunctionName, u1, u2, N1, N2, N, V, D, E, L, T
_rl_enable_meta_key,7,7,11,8,19,72.3397435190945,15.2137655173082,1100.55989548172,0.0657299469261788,61.1422164156512
_rl_control_keypad,9,8,22,16,38,155.323587967513,32.6660910267258,5073.81446314443,0.030612784345144,281.878581285802
_rl_set_cursor,11,10,27,20,47,206.438918870602,25.8048648588252,5327.12840305786,0.0387523827569282,295.951577947659
initialize_job_signals,5,6,9,6,15,51.8914742795595,10.9132916932207,566.306795204091,0.0916313819982652,31.4614886224495
new_exp,27,33,163,110,273,1612.58113260113,103.9719230067,167663.161360862,0.0096179811922451,9314.62007560344
new_exp_0,27,33,161,112,273,1612.58113260113,201.572641575141,325052.238652641,0.00496099069886539,18058.4577029245
new_exp_1,27,33,177,125,302,1783.88095987377,153.655142362219,274102.482846657,0.00650808026745143,15227.9157137032
new_exp_2,27,34,197,141,338,2004.58922009626,172.665917132417,346124.236161676,0.00579153093214746,19229.1242312042
new_exp_3,27,35,221,163,384,2286.41138318856,196.940756970295,450287.588550654,0.00507766911930186,25015.977141703
free_plural_expression,16,12,41,28,69,331.707489621975,69.7613748949997,23140.3705389978,0.0143345798660811,1285.57614105543
parse_plural_expression,48,169,986,749,1735,13466.2913882912,1683.2864235364,22667625.4692956,0.000594075961177844,1259312.52607198
__gettextlex,48,202,1053,750,1803,14362.3090652457,1795.28863315572,25784490.210705,0.000557013497179126,1432471.6783725
__gettexterror,41,127,481,314,795,5876.89235110911,1235.96874761709,7263655.27908076,0.000809081946390613,403536.404393376
argz_count__,16,10,36,30,66,310.229021397312,26.7216734299743,8289.83859827948,0.037422805971361,460.546588793304
argz_stringify__,17,10,41,29,70,332.842125151443,28.6694601684114,9542.40404939869,0.0348803219218554,530.133558299927
argz_next__,18,11,58,32,90,437.218289561482,28.1898537818573,12325.1196534919,0.0354737561868302,684.72886963844
pop,11,12,48,30,78,352.837832572447,44.1047290715559,15561.8170118028,0.022673305585385,864.545389544598
libintl_ngettext,11,7,23,13,36,150.117300051923,9.67888315659275,1452.96780698574,0.103317705547344,80.72043372143
internal_strmatch,13,19,106,66,172,860,55.4489023702843,47686.0560384445,0.0180346220980546,2649.22533546914
gmatch,33,53,611,415,1026,6593.34763832435,274.722818263515,1811343.04499155,0.00364003254742676,100630.169166197
parse_collsym,34,59,645,445,1090,7127.68310410775,613.945205263001,4376006.86640106,0.00162880985375824,243111.492577837
brackmatch,40,82,1154,778,1932,13390.1845361715,863.338412867749,11560260.6654646,0.00115829434332512,642236.703636921
collsym,18,15,49,32,81,408.595923668035,35.1945372096336,14380.3444392393,0.0284135004828612,798.908024402181
bcopy,7,5,15,11,26,93.2090250187501,8.02858841529041,748.336898466051,0.124554896611153,41.5742721370028
is_cclass,24,40,154,87,241,1446,124.551660594825,180101.701220117,0.00802879700860084,10005.6500677843
throw_to_top_level,20,44,89,62,151,906,190.54078557858,172629.951734194,0.00524822020106343,9590.55287412187
sh_eaccess,15,17,69,50,119,595,51.2505104107338,30494.0536943866,0.0195120007973728,1694.11409413259
skipname,22,38,182,113,295,1742.53272570451,150.093599327334,261543.00874666,0.00666250929074689,14530.1671525922
udequote_pathname,26,46,286,214,500,3084.96250072116,648.798210119062,2001518.14875231,0.0015413112804619,111195.452708462
glob_testdir,32,69,431,322,753,5013.6332465121,626.704155814013,3142064.79131644,0.00159564922415605,174559.155073135
glob_dir_to_array,42,124,1183,798,1981,14609.9531134983,941.983562586972,13762335.6830817,0.00106158964945598,764574.204615651
glob_pattern_p,15,15,52,31,83,407.271919435507,50.9089899294384,20733.8020450853,0.019642896105109,1151.87789139363
internal_glob_pattern_p,19,20,92,50,142,750.527115078439,93.8158893848049,70411.3688084956,0.010659175184049,3911.74271158309
glob_vector,37,69,535,328,863,5806.19535228804,374.357161897463,2173590.81350479,0.00267124580956702,120755.045194711
